z full_phi ext_phi
4000 2586.25 2559.08
4200 2792.79 2762.14
4400 3015.86 2981.15
4600 3258.07 3218.6
4800 3522.57 3477.47
5000 3813.22 3761.4
5200 4134.74 4074.8
5400 4493.01 4423.18
5600 4895.41 4813.4
5800 5351.33 5254.13
6000 5872.85 5756.51
6200 6475.68 6334.9
6400 7180.45 7008.15
6600 8014.54 7801.14
6800 9014.5 8747.01
7000 10218.1 9889.83
7200 11624.8 11287.7
7400 13155.5 13014.6
7600 14518.7 15150
7800 15749.6 17555.4
8000 16664.8 19092.7
8200 16607.6 18392.1
8400 16071 16853.7
8600 15322.6 15648
8800 14813.2 14952
9000 14671.9 14733.4
9200 14929.5 14976.9
9400 15653.2 15697.8
9600 16886.4 16928.4
9800 18452.5 18491.8
10000 19180.9 19217.4
10200 17671.4 17705.3
10400 15293.9 15325.2
10600 13186.3 13215.2
10800 11487.1 11513.8
11000 10117.1 10141.7
11200 9002 9024.81
11400 8083.95 8105.08
11600 7318.85 7338.47
11800 6673.62 6691.86
